x,y,line,cp,algo,age,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
18.67953522262339,12.134988274240408,0,0,Nf3,62,,,,,,br,bk,,br,,,,,,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,,,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,wr,,,,,,wr,
18.698269358810812,12.152554665894971,0,0,Nf3,63,,,,,,br,bk,,br,,,,,,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,,wr,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,wr,,,,,,,
18.545098508516485,12.023539776406762,0,0,Nf3,64,,,,,,br,bk,,,,,,,br,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,,wr,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,wr,,,,,,,
18.374507789755384,11.873529890839938,0,0,Nf3,65,,,,,,br,bk,,,,,,,br,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,,wr,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,,,,,,,wr,
18.181949694798753,11.703972055883831,0,0,Nf3,66,,,,,,br,,bk,,,,,,br,,bp,,,bp,,bp,,bn,bq,,bp,wp,bp,wp,,wr,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,,,,,,,wr,
18.097741278838598,11.625946269260298,0,0,Nf3,67,,,,,,br,,bk,,,,,,br,,bp,,,bp,,bp,,wr,bq,,bp,wp,bp,wp,,,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,,,,,,,wr,
17.921168815449867,11.474827017264454,0,0,Nf3,68,,,,,,br,,bk,,,,,,br,,,,,bp,,bp,,bp,bq,,bp,wp,bp,wp,,,,bp,wp,,wp,,bp,,wp,wp,,,,wp,wn,,,,,,,wk,wq,,,,,,,,,wr,
17.84161769808419,11.406862412078278,0,0,Nf3,69,,,,,,br,,bk,,,,,,br,,,,,bp,,bp,,bp,bq,,bp,wp,bp,wp,,wn,,bp,wp,,wp,,bp,,wp,wp,,,,wp,,,,,,,,wk,wq,,,,,,,,,wr,
17.734437942295113,11.308544290042223,0,0,Nf3,70,,,,,,br,,bk,,,,,,,,,,,bp,,bp,,bp,bq,,bp,wp,bp,wp,br,wn,,bp,wp,,wp,,bp,,wp,wp,,,,wp,,,,,,,,wk,wq,,,,,,,,,wr,
17.608819169755403,11.183458855123313,0,0,Nf3,71,,,,,,br,,bk,,,,,,,,,,,bp,,wn,,bp,bq,,bp,wp,bp,wp,br,,,bp,wp,,wp,,bp,,wp,wp,,,,wp,,,,,,,,wk,wq,,,,,,,,,wr,
